GROUP,PARAMETER,DEFINITION,VALUE,UNITS,CAL_MIN,CAL_MAX
SoilParameter,MAX_CAP_RISE_RATE,SIL-mod-medium_A,_DEFAULT,mm,,
SoilParameter,MAX_CAP_RISE_RATE,SIL-mod-medium_B,_DEFAULT,mm,,
SoilParameter,MAX_CAP_RISE_RATE,SIL-mod-medium_C,_DEFAULT,mm,,
SoilParameter,MAX_CAP_RISE_RATE,CLA-mod-shallow_A,_DEFAULT,mm,,
SoilParameter,MAX_CAP_RISE_RATE,CLA-mod-shallow_B,_DEFAULT,mm,,
SoilParameter,MAX_CAP_RISE_RATE,CLA-mod-shallow_C,_DEFAULT,mm,,
SoilParameter,MAX_CAP_RISE_RATE,SIL-low-shallow_A,_DEFAULT,mm,,
SoilParameter,MAX_CAP_RISE_RATE,SIL-low-shallow_B,_DEFAULT,mm,,
SoilParameter,MAX_CAP_RISE_RATE,SIL-low-shallow_C,_DEFAULT,mm,,
SoilParameter,MAX_CAP_RISE_RATE,SAN-low-shallow_A,_DEFAULT,mm,,
SoilParameter,MAX_CAP_RISE_RATE,SAN-low-shallow_B,_DEFAULT,mm,,
SoilParameter,MAX_CAP_RISE_RATE,SAN-low-shallow_C,_DEFAULT,mm,,
SoilParameter,MAX_CAP_RISE_RATE,URBAN_A,_DEFAULT,mm,,
SoilParameter,MAX_CAP_RISE_RATE,URBAN_B,_DEFAULT,mm,,
SoilParameter,MAX_CAP_RISE_RATE,URBAN_C,_DEFAULT,mm,,
SoilParameter,MAX_CAP_RISE_RATE,SIL-low-medium_A,_DEFAULT,mm,,
SoilParameter,MAX_CAP_RISE_RATE,SIL-low-medium_B,_DEFAULT,mm,,
SoilParameter,MAX_CAP_RISE_RATE,SIL-low-medium_C,_DEFAULT,mm,,
SoilParameter,MAX_CAP_RISE_RATE,SAN-high-deep_A,_DEFAULT,mm,,
SoilParameter,MAX_CAP_RISE_RATE,SAN-high-deep_B,_DEFAULT,mm,,
SoilParameter,MAX_CAP_RISE_RATE,SAN-high-deep_C,_DEFAULT,mm,,
SoilParameter,MAX_CAP_RISE_RATE,SAN-mod-deep_A,_DEFAULT,mm,,
SoilParameter,MAX_CAP_RISE_RATE,SAN-mod-deep_B,_DEFAULT,mm,,
SoilParameter,MAX_CAP_RISE_RATE,SAN-mod-deep_C,_DEFAULT,mm,,
SoilParameter,MAX_CAP_RISE_RATE,SIL-high-medium_A,_DEFAULT,mm,,
SoilParameter,MAX_CAP_RISE_RATE,SIL-high-medium_B,_DEFAULT,mm,,
SoilParameter,MAX_CAP_RISE_RATE,SIL-high-medium_C,_DEFAULT,mm,,
SoilParameter,MAX_CAP_RISE_RATE,CLA-mod-medium_A,_DEFAULT,mm,,
SoilParameter,MAX_CAP_RISE_RATE,CLA-mod-medium_B,_DEFAULT,mm,,
SoilParameter,MAX_CAP_RISE_RATE,CLA-mod-medium_C,_DEFAULT,mm,,
SoilParameter,MAX_CAP_RISE_RATE,CLA-low-medium_A,_DEFAULT,mm,,
SoilParameter,MAX_CAP_RISE_RATE,CLA-low-medium_B,_DEFAULT,mm,,
SoilParameter,MAX_CAP_RISE_RATE,CLA-low-medium_C,_DEFAULT,mm,,
SoilParameter,MAX_CAP_RISE_RATE,CLA-low-shallow_A,_DEFAULT,mm,,
SoilParameter,MAX_CAP_RISE_RATE,CLA-low-shallow_B,_DEFAULT,mm,,
SoilParameter,MAX_CAP_RISE_RATE,CLA-low-shallow_C,_DEFAULT,mm,,
SoilParameter,MAX_CAP_RISE_RATE,CLA-high-medium_A,_DEFAULT,mm,,
SoilParameter,MAX_CAP_RISE_RATE,CLA-high-medium_B,_DEFAULT,mm,,
SoilParameter,MAX_CAP_RISE_RATE,CLA-high-medium_C,_DEFAULT,mm,,
SoilParameter,MAX_CAP_RISE_RATE,SAN-mod-0_A,_DEFAULT,mm,,
SoilParameter,MAX_CAP_RISE_RATE,SAN-mod-0_B,_DEFAULT,mm,,
SoilParameter,MAX_CAP_RISE_RATE,SAN-mod-0_C,_DEFAULT,mm,,
SoilParameter,MAX_CAP_RISE_RATE,SAN-high-0_A,_DEFAULT,mm,,
SoilParameter,MAX_CAP_RISE_RATE,SAN-high-0_B,_DEFAULT,mm,,
SoilParameter,MAX_CAP_RISE_RATE,SAN-high-0_C,_DEFAULT,mm,,
SoilParameter,MAX_CAP_RISE_RATE,MARL_A,_DEFAULT,mm,,
SoilParameter,MAX_CAP_RISE_RATE,MARL_B,_DEFAULT,mm,,
SoilParameter,MAX_CAP_RISE_RATE,MARL_C,_DEFAULT,mm,,
SoilParameter,MAX_CAP_RISE_RATE,GRAVEL_PIT_A,_DEFAULT,mm,,
SoilParameter,MAX_CAP_RISE_RATE,GRAVEL_PIT_B,_DEFAULT,mm,,
SoilParameter,MAX_CAP_RISE_RATE,GRAVEL_PIT_C,_DEFAULT,mm,,
SoilParameter,MAX_CAP_RISE_RATE,DIKE_A,_DEFAULT,mm,,
SoilParameter,MAX_CAP_RISE_RATE,DIKE_B,_DEFAULT,mm,,
SoilParameter,MAX_CAP_RISE_RATE,DIKE_C,_DEFAULT,mm,,
SoilParameter,MAX_CAP_RISE_RATE,CUT_FILL_A,_DEFAULT,mm,,
SoilParameter,MAX_CAP_RISE_RATE,CUT_FILL_B,_DEFAULT,mm,,
SoilParameter,MAX_CAP_RISE_RATE,CUT_FILL_C,_DEFAULT,mm,,
SoilParameter,FIELD_CAPACITY,[DEFAULT],0.8,mm,0,1
SoilParameter,FIELD_CAPACITY,SIL-mod-shallow_A,_DEFAULT,mm,,
SoilParameter,FIELD_CAPACITY,SIL-mod-shallow_B,_DEFAULT,mm,,
SoilParameter,FIELD_CAPACITY,SIL-mod-shallow_C,_DEFAULT,mm,,
SoilParameter,FIELD_CAPACITY,SAN-mod-shallow_A,_DEFAULT,mm,,
SoilParameter,FIELD_CAPACITY,SAN-mod-shallow_B,_DEFAULT,mm,,
SoilParameter,FIELD_CAPACITY,SAN-mod-shallow_C,_DEFAULT,mm,,
SoilParameter,FIELD_CAPACITY,SAN-high-shallow_A,_DEFAULT,mm,,
SoilParameter,FIELD_CAPACITY,SAN-high-shallow_B,_DEFAULT,mm,,
SoilParameter,FIELD_CAPACITY,SAN-high-shallow_C,_DEFAULT,mm,,
SoilParameter,FIELD_CAPACITY,SAN-high-medium_A,_DEFAULT,mm,,
SoilParameter,FIELD_CAPACITY,SAN-high-medium_B,_DEFAULT,mm,,
SoilParameter,FIELD_CAPACITY,SAN-high-medium_C,_DEFAULT,mm,,
SoilParameter,FIELD_CAPACITY,SIL-high-shallow_A,_DEFAULT,mm,,
SoilParameter,FIELD_CAPACITY,SIL-high-shallow_B,_DEFAULT,mm,,
SoilParameter,FIELD_CAPACITY,SIL-high-shallow_C,_DEFAULT,mm,,
SoilParameter,FIELD_CAPACITY,SAN-low-medium_A,_DEFAULT,mm,,
SoilParameter,FIELD_CAPACITY,SAN-low-medium_B,_DEFAULT,mm,,
SoilParameter,FIELD_CAPACITY,SAN-low-medium_C,_DEFAULT,mm,,
SoilParameter,FIELD_CAPACITY,SAN-mod-medium_A,_DEFAULT,mm,,
SoilParameter,FIELD_CAPACITY,SAN-mod-medium_B,_DEFAULT,mm,,
SoilParameter,FIELD_CAPACITY,SAN-mod-medium_C,_DEFAULT,mm,,
SoilParameter,FIELD_CAPACITY,SIL-mod-medium_A,_DEFAULT,mm,,
SoilParameter,FIELD_CAPACITY,SIL-mod-medium_B,_DEFAULT,mm,,
SoilParameter,FIELD_CAPACITY,SIL-mod-medium_C,_DEFAULT,mm,,
SoilParameter,FIELD_CAPACITY,CLA-mod-shallow_A,_DEFAULT,mm,,
SoilParameter,FIELD_CAPACITY,CLA-mod-shallow_B,_DEFAULT,mm,,
SoilParameter,FIELD_CAPACITY,CLA-mod-shallow_C,_DEFAULT,mm,,
SoilParameter,FIELD_CAPACITY,SIL-low-shallow_A,_DEFAULT,mm,,
SoilParameter,FIELD_CAPACITY,SIL-low-shallow_B,_DEFAULT,mm,,
SoilParameter,FIELD_CAPACITY,SIL-low-shallow_C,_DEFAULT,mm,,
SoilParameter,FIELD_CAPACITY,SAN-low-shallow_A,_DEFAULT,mm,,
SoilParameter,FIELD_CAPACITY,SAN-low-shallow_B,_DEFAULT,mm,,
SoilParameter,FIELD_CAPACITY,SAN-low-shallow_C,_DEFAULT,mm,,
SoilParameter,FIELD_CAPACITY,URBAN_A,_DEFAULT,mm,,
SoilParameter,FIELD_CAPACITY,URBAN_B,_DEFAULT,mm,,
SoilParameter,FIELD_CAPACITY,URBAN_C,_DEFAULT,mm,,
SoilParameter,FIELD_CAPACITY,SIL-low-medium_A,_DEFAULT,mm,,
SoilParameter,FIELD_CAPACITY,SIL-low-medium_B,_DEFAULT,mm,,
SoilParameter,FIELD_CAPACITY,SIL-low-medium_C,_DEFAULT,mm,,
SoilParameter,FIELD_CAPACITY,SAN-high-deep_A,_DEFAULT,mm,,
SoilParameter,FIELD_CAPACITY,SAN-high-deep_B,_DEFAULT,mm,,
SoilParameter,FIELD_CAPACITY,SAN-high-deep_C,_DEFAULT,mm,,
SoilParameter,FIELD_CAPACITY,SAN-mod-deep_A,_DEFAULT,mm,,
SoilParameter,FIELD_CAPACITY,SAN-mod-deep_B,_DEFAULT,mm,,
SoilParameter,FIELD_CAPACITY,SAN-mod-deep_C,_DEFAULT,mm,,
SoilParameter,FIELD_CAPACITY,SIL-high-medium_A,_DEFAULT,mm,,
SoilParameter,FIELD_CAPACITY,SIL-high-medium_B,_DEFAULT,mm,,
SoilParameter,FIELD_CAPACITY,SIL-high-medium_C,_DEFAULT,mm,,
SoilParameter,FIELD_CAPACITY,CLA-mod-medium_A,_DEFAULT,mm,,
SoilParameter,FIELD_CAPACITY,CLA-mod-medium_B,_DEFAULT,mm,,
SoilParameter,FIELD_CAPACITY,CLA-mod-medium_C,_DEFAULT,mm,,
SoilParameter,FIELD_CAPACITY,CLA-low-medium_A,_DEFAULT,mm,,
SoilParameter,FIELD_CAPACITY,CLA-low-medium_B,_DEFAULT,mm,,
SoilParameter,FIELD_CAPACITY,CLA-low-medium_C,_DEFAULT,mm,,
SoilParameter,FIELD_CAPACITY,CLA-low-shallow_A,_DEFAULT,mm,,
SoilParameter,FIELD_CAPACITY,CLA-low-shallow_B,_DEFAULT,mm,,
SoilParameter,FIELD_CAPACITY,CLA-low-shallow_C,_DEFAULT,mm,,
SoilParameter,FIELD_CAPACITY,CLA-high-medium_A,_DEFAULT,mm,,
SoilParameter,FIELD_CAPACITY,CLA-high-medium_B,_DEFAULT,mm,,
SoilParameter,FIELD_CAPACITY,CLA-high-medium_C,_DEFAULT,mm,,
SoilParameter,FIELD_CAPACITY,SAN-mod-0_A,_DEFAULT,mm,,
SoilParameter,FIELD_CAPACITY,SAN-mod-0_B,_DEFAULT,mm,,
SoilParameter,FIELD_CAPACITY,SAN-mod-0_C,_DEFAULT,mm,,
SoilParameter,FIELD_CAPACITY,SAN-high-0_A,_DEFAULT,mm,,
SoilParameter,FIELD_CAPACITY,SAN-high-0_B,_DEFAULT,mm,,
SoilParameter,FIELD_CAPACITY,SAN-high-0_C,_DEFAULT,mm,,
SoilParameter,FIELD_CAPACITY,MARL_A,_DEFAULT,mm,,
SoilParameter,FIELD_CAPACITY,MARL_B,_DEFAULT,mm,,
SoilParameter,FIELD_CAPACITY,MARL_C,_DEFAULT,mm,,
SoilParameter,FIELD_CAPACITY,GRAVEL_PIT_A,_DEFAULT,mm,,
SoilParameter,FIELD_CAPACITY,GRAVEL_PIT_B,_DEFAULT,mm,,
SoilParameter,FIELD_CAPACITY,GRAVEL_PIT_C,_DEFAULT,mm,,
SoilParameter,FIELD_CAPACITY,DIKE_A,_DEFAULT,mm,,
SoilParameter,FIELD_CAPACITY,DIKE_B,_DEFAULT,mm,,
SoilParameter,FIELD_CAPACITY,DIKE_C,_DEFAULT,mm,,
SoilParameter,FIELD_CAPACITY,CUT_FILL_A,_DEFAULT,mm,,
SoilParameter,FIELD_CAPACITY,CUT_FILL_B,_DEFAULT,mm,,
SoilParameter,FIELD_CAPACITY,CUT_FILL_C,_DEFAULT,mm,,
SoilParameter,MAX_PERC_RATE,[DEFAULT],685.877,mm_per_d,0,2000
SoilParameter,MAX_PERC_RATE,SIL-mod-shallow_A,_DEFAULT,mm_per_d,,
SoilParameter,MAX_PERC_RATE,SIL-mod-shallow_B,_DEFAULT,mm_per_d,,
SoilParameter,MAX_PERC_RATE,SIL-mod-shallow_C,_DEFAULT,mm_per_d,,
SoilParameter,MAX_PERC_RATE,SAN-mod-shallow_A,_DEFAULT,mm_per_d,,
SoilParameter,MAX_PERC_RATE,SAN-mod-shallow_B,_DEFAULT,mm_per_d,,
SoilParameter,MAX_PERC_RATE,SAN-mod-shallow_C,_DEFAULT,mm_per_d,,
SoilParameter,MAX_PERC_RATE,SAN-high-shallow_A,_DEFAULT,mm_per_d,,
SoilParameter,MAX_PERC_RATE,SAN-high-shallow_B,_DEFAULT,mm_per_d,,
SoilParameter,MAX_PERC_RATE,SAN-high-shallow_C,_DEFAULT,mm_per_d,,
SoilParameter,MAX_PERC_RATE,SAN-high-medium_A,_DEFAULT,mm_per_d,,
SoilParameter,MAX_PERC_RATE,SAN-high-medium_B,_DEFAULT,mm_per_d,,
SoilParameter,MAX_PERC_RATE,SAN-high-medium_C,_DEFAULT,mm_per_d,,
SoilParameter,MAX_PERC_RATE,SIL-high-shallow_A,_DEFAULT,mm_per_d,,
SoilParameter,MAX_PERC_RATE,SIL-high-shallow_B,_DEFAULT,mm_per_d,,
SoilParameter,MAX_PERC_RATE,SIL-high-shallow_C,_DEFAULT,mm_per_d,,
SoilParameter,MAX_PERC_RATE,SAN-low-medium_A,_DEFAULT,mm_per_d,,
SoilParameter,MAX_PERC_RATE,SAN-low-medium_B,_DEFAULT,mm_per_d,,
SoilParameter,MAX_PERC_RATE,SAN-low-medium_C,_DEFAULT,mm_per_d,,
SoilParameter,MAX_PERC_RATE,SAN-mod-medium_A,_DEFAULT,mm_per_d,,
SoilParameter,MAX_PERC_RATE,SAN-mod-medium_B,_DEFAULT,mm_per_d,,
SoilParameter,MAX_PERC_RATE,SAN-mod-medium_C,_DEFAULT,mm_per_d,,
SoilParameter,MAX_PERC_RATE,SIL-mod-medium_A,_DEFAULT,mm_per_d,,
SoilParameter,MAX_PERC_RATE,SIL-mod-medium_B,_DEFAULT,mm_per_d,,
SoilParameter,MAX_PERC_RATE,SIL-mod-medium_C,_DEFAULT,mm_per_d,,
SoilParameter,MAX_PERC_RATE,CLA-mod-shallow_A,_DEFAULT,mm_per_d,,
SoilParameter,MAX_PERC_RATE,CLA-mod-shallow_B,_DEFAULT,mm_per_d,,
SoilParameter,MAX_PERC_RATE,CLA-mod-shallow_C,_DEFAULT,mm_per_d,,
SoilParameter,MAX_PERC_RATE,SIL-low-shallow_A,_DEFAULT,mm_per_d,,
SoilParameter,MAX_PERC_RATE,SIL-low-shallow_B,_DEFAULT,mm_per_d,,
SoilParameter,MAX_PERC_RATE,SIL-low-shallow_C,_DEFAULT,mm_per_d,,
SoilParameter,MAX_PERC_RATE,SAN-low-shallow_A,_DEFAULT,mm_per_d,,
SoilParameter,MAX_PERC_RATE,SAN-low-shallow_B,_DEFAULT,mm_per_d,,
SoilParameter,MAX_PERC_RATE,SAN-low-shallow_C,_DEFAULT,mm_per_d,,
SoilParameter,MAX_PERC_RATE,URBAN_A,_DEFAULT,mm_per_d,,
SoilParameter,MAX_PERC_RATE,URBAN_B,_DEFAULT,mm_per_d,,
SoilParameter,MAX_PERC_RATE,URBAN_C,_DEFAULT,mm_per_d,,
SoilParameter,MAX_PERC_RATE,SIL-low-medium_A,_DEFAULT,mm_per_d,,
SoilParameter,MAX_PERC_RATE,SIL-low-medium_B,_DEFAULT,mm_per_d,,
SoilParameter,MAX_PERC_RATE,SIL-low-medium_C,_DEFAULT,mm_per_d,,
SoilParameter,MAX_PERC_RATE,SAN-high-deep_A,_DEFAULT,mm_per_d,,
SoilParameter,MAX_PERC_RATE,SAN-high-deep_B,_DEFAULT,mm_per_d,,
SoilParameter,MAX_PERC_RATE,SAN-high-deep_C,_DEFAULT,mm_per_d,,
SoilParameter,MAX_PERC_RATE,SAN-mod-deep_A,_DEFAULT,mm_per_d,,
SoilParameter,MAX_PERC_RATE,SAN-mod-deep_B,_DEFAULT,mm_per_d,,
SoilParameter,MAX_PERC_RATE,SAN-mod-deep_C,_DEFAULT,mm_per_d,,
SoilParameter,MAX_PERC_RATE,SIL-high-medium_A,_DEFAULT,mm_per_d,,
SoilParameter,MAX_PERC_RATE,SIL-high-medium_B,_DEFAULT,mm_per_d,,
SoilParameter,MAX_PERC_RATE,SIL-high-medium_C,_DEFAULT,mm_per_d,,
SoilParameter,MAX_PERC_RATE,CLA-mod-medium_A,_DEFAULT,mm_per_d,,
SoilParameter,MAX_PERC_RATE,CLA-mod-medium_B,_DEFAULT,mm_per_d,,
SoilParameter,MAX_PERC_RATE,CLA-mod-medium_C,_DEFAULT,mm_per_d,,
SoilParameter,MAX_PERC_RATE,CLA-low-medium_A,_DEFAULT,mm_per_d,,
SoilParameter,MAX_PERC_RATE,CLA-low-medium_B,_DEFAULT,mm_per_d,,
SoilParameter,MAX_PERC_RATE,CLA-low-medium_C,_DEFAULT,mm_per_d,,
SoilParameter,MAX_PERC_RATE,CLA-low-shallow_A,_DEFAULT,mm_per_d,,
SoilParameter,MAX_PERC_RATE,CLA-low-shallow_B,_DEFAULT,mm_per_d,,
SoilParameter,MAX_PERC_RATE,CLA-low-shallow_C,_DEFAULT,mm_per_d,,
SoilParameter,MAX_PERC_RATE,CLA-high-medium_A,_DEFAULT,mm_per_d,,
SoilParameter,MAX_PERC_RATE,CLA-high-medium_B,_DEFAULT,mm_per_d,,
SoilParameter,MAX_PERC_RATE,CLA-high-medium_C,_DEFAULT,mm_per_d,,
SoilParameter,MAX_PERC_RATE,SAN-mod-0_A,_DEFAULT,mm_per_d,,
SoilParameter,MAX_PERC_RATE,SAN-mod-0_B,_DEFAULT,mm_per_d,,
SoilParameter,MAX_PERC_RATE,SAN-mod-0_C,_DEFAULT,mm_per_d,,
SoilParameter,MAX_PERC_RATE,SAN-high-0_A,_DEFAULT,mm_per_d,,
SoilParameter,MAX_PERC_RATE,SAN-high-0_B,_DEFAULT,mm_per_d,,
SoilParameter,MAX_PERC_RATE,SAN-high-0_C,_DEFAULT,mm_per_d,,
SoilParameter,MAX_PERC_RATE,MARL_A,_DEFAULT,mm_per_d,,
SoilParameter,MAX_PERC_RATE,MARL_B,_DEFAULT,mm_per_d,,
SoilParameter,MAX_PERC_RATE,MARL_C,_DEFAULT,mm_per_d,,
